,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_weight[0, 11]",0.508,0.298,0.111,1.078,0.008,0.009,1219.146,1445.164,1.0
"K_uu_weight[0, 12]",0.449,0.277,0.053,0.943,0.008,0.009,1175.717,1451.542,1.0
"K_uu_weight[0, 13]",0.393,0.256,0.037,0.851,0.007,0.008,1143.81,1450.508,1.001
"K_uu_weight[0, 14]",0.342,0.235,0.023,0.765,0.007,0.008,1115.048,1301.002,1.001
"K_uu_weight[0, 15]",0.295,0.214,0.012,0.679,0.006,0.007,1083.999,1406.558,1.001
"K_uu_weight[0, 16]",0.252,0.193,0.006,0.595,0.006,0.007,1061.226,1321.641,1.001
"K_uu_weight[0, 17]",0.214,0.173,0.004,0.53,0.005,0.006,1044.402,1270.623,1.001
"K_uu_weight[0, 18]",0.18,0.155,0.0,0.458,0.005,0.006,1029.035,1224.009,1.002
"K_uu_weight[0, 19]",0.151,0.137,0.0,0.398,0.004,0.005,1015.594,1252.581,1.002
"K_uu_weight[0, 20]",0.125,0.12,0.0,0.342,0.004,0.005,1007.441,1228.555,1.002
"K_uu_weight[0, 21]",0.103,0.105,0.0,0.294,0.003,0.004,1000.3,1231.35,1.002
"K_uu_weight[0, 22]",0.084,0.091,0.0,0.25,0.003,0.004,994.02,1207.162,1.002
"K_uu_weight[0, 23]",0.069,0.079,0.0,0.213,0.002,0.004,988.018,1115.398,1.002
"K_uu_weight[0, 24]",0.056,0.067,0.0,0.177,0.002,0.003,983.03,1115.398,1.002
"K_uu_weight[0, 25]",0.045,0.057,0.0,0.148,0.002,0.003,979.245,1081.93,1.002
"K_uu_weight[0, 26]",0.036,0.049,0.0,0.123,0.001,0.003,975.369,1083.791,1.002
"K_uu_weight[0, 27]",0.029,0.041,0.0,0.101,0.001,0.002,973.574,1060.506,1.002
"K_uu_weight[0, 28]",0.023,0.034,0.0,0.082,0.001,0.002,971.629,1060.506,1.002
"K_uu_weight[0, 29]",0.018,0.029,0.0,0.066,0.001,0.002,970.041,1060.506,1.002
"K_uu_weight[0, 30]",0.014,0.024,0.0,0.054,0.001,0.002,969.268,1060.506,1.002
"K_uu_weight[0, 31]",0.011,0.019,0.0,0.043,0.001,0.001,969.368,1060.73,1.003
"K_uu_weight[0, 32]",0.008,0.016,0.0,0.034,0.0,0.001,969.399,1060.73,1.003
"K_uu_weight[0, 33]",0.007,0.013,0.0,0.026,0.0,0.001,969.126,1097.834,1.003
"K_uu_weight[0, 34]",0.005,0.011,0.0,0.02,0.0,0.001,969.935,1097.834,1.003
"K_uu_weight[0, 35]",0.004,0.009,0.0,0.016,0.0,0.001,971.118,1097.391,1.003
"K_uu_weight[0, 36]",0.003,0.007,0.0,0.012,0.0,0.001,971.177,1097.391,1.003
"K_uu_weight[0, 37]",0.002,0.006,0.0,0.009,0.0,0.001,970.506,1123.149,1.003
"K_uu_weight[0, 38]",0.002,0.004,0.0,0.007,0.0,0.0,971.489,1123.149,1.003
"K_uu_weight[0, 39]",0.001,0.004,0.0,0.005,0.0,0.0,972.212,1123.149,1.003
"K_uu_weight[0, 40]",0.001,0.003,0.0,0.004,0.0,0.0,971.981,1123.149,1.003
"K_uu_weight[0, 41]",0.001,0.002,0.0,0.003,0.0,0.0,972.335,1097.214,1.003
