,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing[10, 0]",0.191,0.952,-1.635,1.948,0.016,0.024,3419.514,1373.049,1.002
"eta_inducing[10, 1]",-0.213,0.992,-2.194,1.573,0.016,0.025,4018.665,1391.241,1.006
"eta_inducing[11, 0]",0.288,0.95,-1.448,2.103,0.016,0.022,3522.097,1540.98,1.001
"eta_inducing[11, 1]",-0.225,0.996,-2.151,1.561,0.017,0.026,3450.093,1132.272,1.0
"eta_inducing[12, 0]",0.392,0.953,-1.43,2.084,0.016,0.025,3572.062,1167.05,1.002
"eta_inducing[12, 1]",-0.184,1.027,-2.024,1.825,0.017,0.027,3591.172,1294.374,1.001
"eta_inducing[13, 0]",0.465,0.978,-1.331,2.307,0.017,0.03,3300.001,856.464,1.005
"eta_inducing[13, 1]",-0.228,0.948,-1.913,1.677,0.015,0.027,4066.708,1342.245,1.006
"eta_inducing[14, 0]",0.492,0.958,-1.351,2.229,0.016,0.027,3554.036,1229.683,1.001
"eta_inducing[14, 1]",-0.218,0.987,-1.952,1.782,0.015,0.027,4661.756,1350.89,1.003
"eta_inducing[15, 0]",0.461,0.994,-1.414,2.296,0.017,0.025,3574.691,1584.892,1.003
"eta_inducing[15, 1]",-0.182,1.048,-2.065,1.936,0.017,0.03,3562.713,1252.376,1.003
"eta_inducing[16, 0]",0.438,0.916,-1.211,2.214,0.015,0.023,3941.682,1609.523,1.003
"eta_inducing[16, 1]",-0.174,0.99,-1.93,1.815,0.015,0.025,4605.025,1398.246,1.005
"eta_inducing[17, 0]",0.41,0.936,-1.423,2.008,0.017,0.024,3144.069,1266.007,1.0
"eta_inducing[17, 1]",-0.152,1.019,-2.109,1.622,0.019,0.033,3098.375,995.397,1.007
"eta_inducing[18, 0]",0.342,0.927,-1.389,2.1,0.016,0.024,3276.48,1389.105,1.003
"eta_inducing[18, 1]",-0.143,0.95,-1.756,1.74,0.016,0.022,3717.673,1644.389,1.003
"eta_inducing[19, 0]",0.314,0.933,-1.517,2.019,0.016,0.023,3616.03,1224.368,1.0
"eta_inducing[19, 1]",-0.165,1.002,-1.916,1.852,0.016,0.027,3812.306,1296.98,1.002
"eta_inducing[20, 0]",0.229,0.941,-1.666,1.927,0.015,0.024,3875.47,1473.981,1.002
"eta_inducing[20, 1]",-0.175,0.951,-1.933,1.609,0.015,0.021,3717.563,1286.463,1.0
