,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_workout[39, 6]",0.062,0.073,0.004,0.185,0.004,0.009,1109.003,659.669,1.004
"K_uu_workout[39, 7]",0.063,0.074,0.005,0.185,0.004,0.01,1100.729,659.669,1.004
"K_uu_workout[39, 8]",0.063,0.074,0.005,0.186,0.004,0.01,1090.533,646.135,1.004
"K_uu_workout[39, 9]",0.064,0.075,0.005,0.187,0.004,0.01,1077.919,646.135,1.004
"K_uu_workout[39, 10]",0.064,0.075,0.005,0.187,0.004,0.01,1067.145,646.135,1.004
"K_uu_workout[39, 11]",0.065,0.075,0.005,0.188,0.004,0.01,1058.333,646.093,1.004
"K_uu_workout[39, 12]",0.065,0.076,0.005,0.188,0.004,0.01,1041.804,646.093,1.004
"K_uu_workout[39, 13]",0.066,0.076,0.006,0.19,0.004,0.01,1032.185,646.093,1.004
"K_uu_workout[39, 14]",0.066,0.076,0.007,0.192,0.004,0.01,1020.034,646.093,1.004
"K_uu_workout[39, 15]",0.067,0.077,0.006,0.192,0.004,0.01,1010.023,646.093,1.004
"K_uu_workout[39, 16]",0.067,0.077,0.007,0.193,0.004,0.01,1000.556,641.819,1.004
"K_uu_workout[39, 17]",0.067,0.077,0.007,0.194,0.004,0.01,992.063,641.819,1.004
"K_uu_workout[39, 18]",0.068,0.078,0.006,0.194,0.004,0.011,982.548,641.819,1.004
"K_uu_workout[39, 19]",0.068,0.078,0.006,0.194,0.004,0.011,973.785,655.064,1.004
"K_uu_workout[39, 20]",0.069,0.078,0.006,0.194,0.004,0.011,964.883,655.064,1.004
"K_uu_workout[39, 21]",0.069,0.078,0.007,0.196,0.004,0.011,955.521,655.064,1.004
"K_uu_workout[39, 22]",0.069,0.079,0.007,0.197,0.004,0.011,947.497,664.361,1.004
"K_uu_workout[39, 23]",0.07,0.079,0.006,0.197,0.004,0.011,940.5,664.361,1.004
"K_uu_workout[39, 24]",0.07,0.079,0.006,0.197,0.004,0.011,932.745,664.361,1.004
"K_uu_workout[39, 25]",0.07,0.079,0.007,0.197,0.004,0.011,926.498,664.361,1.004
"K_uu_workout[39, 26]",0.07,0.08,0.007,0.199,0.004,0.011,920.361,664.361,1.004
"K_uu_workout[39, 27]",0.071,0.08,0.007,0.201,0.004,0.011,912.836,659.925,1.004
"K_uu_workout[39, 28]",0.071,0.08,0.007,0.201,0.004,0.011,907.633,664.121,1.004
"K_uu_workout[39, 29]",0.071,0.08,0.007,0.201,0.004,0.011,903.076,664.121,1.004
"K_uu_workout[39, 30]",0.071,0.08,0.007,0.201,0.004,0.011,899.245,664.121,1.004
"K_uu_workout[39, 31]",0.071,0.08,0.007,0.202,0.004,0.011,894.308,664.121,1.004
"K_uu_workout[39, 32]",0.072,0.081,0.007,0.202,0.004,0.011,888.702,664.121,1.004
"K_uu_workout[39, 33]",0.072,0.081,0.007,0.202,0.004,0.011,886.42,664.121,1.004
"K_uu_workout[39, 34]",0.072,0.081,0.007,0.202,0.004,0.011,883.685,664.121,1.004
"K_uu_workout[39, 35]",0.072,0.081,0.007,0.202,0.004,0.011,881.91,668.391,1.004
"K_uu_workout[39, 36]",0.072,0.081,0.007,0.203,0.004,0.011,879.548,668.391,1.004
"K_uu_workout[39, 37]",0.072,0.081,0.007,0.203,0.004,0.011,878.076,668.391,1.004
"K_uu_workout[39, 38]",0.072,0.081,0.007,0.203,0.004,0.011,873.541,668.391,1.004
"K_uu_workout[39, 39]",0.072,0.081,0.007,0.203,0.004,0.011,873.401,668.391,1.004
"K_uu_workout[39, 40]",0.072,0.081,0.007,0.203,0.004,0.011,873.541,668.391,1.004
"K_uu_workout[39, 41]",0.072,0.081,0.007,0.203,0.004,0.011,878.076,668.391,1.004
"K_uu_workout[39, 42]",0.072,0.081,0.007,0.203,0.004,0.011,879.548,668.391,1.004
"K_uu_workout[39, 43]",0.072,0.081,0.007,0.202,0.004,0.011,881.91,668.391,1.004
"K_uu_workout[39, 44]",0.072,0.081,0.007,0.202,0.004,0.011,883.685,664.121,1.004
"K_uu_workout[39, 45]",0.072,0.081,0.007,0.202,0.004,0.011,886.42,664.121,1.004
"K_uu_workout[39, 46]",0.072,0.081,0.007,0.202,0.004,0.011,888.702,664.121,1.004
"K_uu_workout[39, 47]",0.071,0.08,0.007,0.202,0.004,0.011,894.308,664.121,1.004
"K_uu_workout[39, 48]",0.071,0.08,0.007,0.201,0.004,0.011,899.245,664.121,1.004
"K_uu_workout[39, 49]",0.071,0.08,0.007,0.201,0.004,0.011,903.076,664.121,1.004
"K_uu_workout[40, 0]",0.059,0.071,0.002,0.178,0.003,0.009,1153.57,683.56,1.004
"K_uu_workout[40, 1]",0.059,0.071,0.002,0.178,0.003,0.009,1155.995,688.795,1.004
"K_uu_workout[40, 2]",0.06,0.071,0.002,0.179,0.003,0.009,1152.694,688.795,1.004
"K_uu_workout[40, 3]",0.06,0.072,0.003,0.18,0.004,0.009,1145.863,694.047,1.004
"K_uu_workout[40, 4]",0.061,0.072,0.004,0.182,0.004,0.009,1132.318,679.376,1.004
"K_uu_workout[40, 5]",0.061,0.073,0.005,0.184,0.004,0.009,1123.567,679.376,1.004
"K_uu_workout[40, 6]",0.062,0.073,0.004,0.184,0.004,0.009,1118.347,659.669,1.004
"K_uu_workout[40, 7]",0.062,0.073,0.004,0.185,0.004,0.009,1109.003,659.669,1.004
"K_uu_workout[40, 8]",0.063,0.074,0.005,0.185,0.004,0.01,1100.729,659.669,1.004
